query,user.name,text
pizza,Ad,@LiamDolmanio @a_norton7 @JoebyM17 😂😂😂😂showing me the stanley wor he over a pizza. Mad guy 😂
pizza,Leo Capello,"@helenaverley @Pot_Pizza_Pinot and your twittername includes ""proudresister""? 
maybe you should cut down a bit on t… https://t.co/Dfs0gEPMc7"
pizza,Priya Basumatary,"@meyaohyeah @notsynced You like pineapple on pizza and maggi with ketchup, your opinion is invalid"
pizza,Gordan,"RT @Christo24881262: The list of companies so far that support Trump are: Bang, Inn n out, Chick fil a, Taco Bell, McDonald’s, Wendy’s, KFC…"
pizza,Love2Laugh,"RT @RachelNoise: I might lose some followers with this but, the pizza cutter goes in the knife drawer not in the miscellaneous utensil draw…"
pizza,Jamie Cassidy,"RT @kylewilson47: valium pizza. amazin, anyone puntin these ?"
pizza,Mike Ryan (Ruiz),"TWO GUYS, A GIRL AND A PIZZA PLACE!!!"
pizza,SEDZY🇿🇦,"RT @HuaweiZA: Stand a chance to win 1 of 40 R150 vouchers by telling us your favourite @DebonairsPizza pizza topping 🍕 

Remember to use #H…"
pizza,haylez ★,"Yesterday for our one year, Ty surprised me with my favorites, then took me on a picnic at the lake and even got th… https://t.co/ddtSdkojOE"
pizza,er. ☾,"RT @defbabybird: 🐥: I’m hungry what should I eat? 
🌙: chicken pizza hamburger! hehe as long as it’s not me gaining weight it’s okay ~ you g…"
virus,The Quorum System,"⚔day 5 - yeah, we've been to two pride events. our city does a kind of festival every summer and we've been the las… https://t.co/toN0tEuJsW"
virus,tinkesh gyamalani ⚙️,"RT @palkisu: The @WHO has restarted HCQ trials.  
See the contrast. 
The outbreak began in China in Dec 2019.
WHO declared a pandemic in Ma…"
virus,Daneen,RT @MsRightMsRight: Wow. Mandatory masks on all public transport from June 15th. For a virus that’s on its way out? Why now ? What’s next S…
virus,Mary,"RT @Brash_1: So it seems we’ve come full circle. 

Russian collusion...quid pro quo...deadly virus...

When all else fails, the Left always…"
virus,danny,@chairmick @andrew_mikhail @BorisJohnson Face mask shouldn't be compolsory in taxis if someone is getting in your t… https://t.co/kQOWHSVQhK
virus,Melinda Clarke,"RT @Trey_VonDinkis: .
🧬 VIRUS CRIME

Lancet Officially Retracts their BS 'Study' on Hydroxychloroquine - Results were steered for Political…"
virus,Sumi,"RT @Sumi36257496: They are much better than you
Atlest they feed people save their life and you 😔😔😔 ab media kha ha
#rgpv_spreading_coronav…"
virus,Number nine🇦🇺Q anon,RT @riseupmelbourne: What an absolute Friggin joke. Using a fictional death to incite violence and protests and cause the second wave of a…
virus,Fiz 👁️‍🗨️,"RT @PercyMarvel: Me after corona                   Me after every
virus news                             new month…"
virus,⚘Sherry⚘,"RT @BillMcCombs3: For months,  Thousands of people couldn't have a memorial for loved one's..

I guess ""Politically"" It's better to allow a…"
corona,Dr. Nabeel Alvi,"@DrSadiaA @Noumaan22 And than stupid people say "" Corona Is fake"""
corona,kotteeswaran,"RT @mannan_prakash: Chennai mambalam police inspector tested #Corona positive. 

#COVIDー19 

@Stalin__SP"
corona,Richard Phillips,RT @RupertRead: ‘Test and Trace’ A Dangerous Omnishambles. #Philosophy-inspired investigative #journalism by Tom Scott and I. #Corona #coro…
corona,Diane L,"RT @CyrusAParsa1: ""Mass Hysteria, Crimes, Global Digital Field to A.I via Corona"""" Predicted not just in March, but on Aug 24, 2019 Book Re…"
corona,Fatima,"Best explanation of Corona nd fear of Corona ....
#coronavirusinpakistan
#Pakistan https://t.co/bv7oXewXxf"
corona,Shiva Gupta,"RT @SamayRajput6: ICAI, Kab Khun Kholega Be??

CANCEL CA JULY EXAMS ☠️ 
#ICAI #icaiCancelExams #Castudents #corona #COVIDー19 https://t.co/G…"
corona,Tirup Dave,"RT @GESIAORG: Be a part of GESIA a not-for-profit association of ICT Industries

#Pandemic #stayhome #Coronavirus #stayhomestaysafe #Corona…"
corona,Wajahat Rafiq Saduzai,RT @MojabSays: Students have never been priority of this state. @pid_gov offered billion rupees in corona relief to elite real estate tycoo…
corona,HINDUSTANI,"RT @RakeshS69702834: @LokKalyanSetu Panchagavya is a mixture of milk, curd, dung, ghee and urine obtained from the native cow.

Every citiz…"
corona,Rodolfo,"RT @comicguyjames: capitalism: be productive or die

corona: be unproductive or die

cops: just die"
