query,user.name,text
pizza,mightbearaven,"RT @CraftyCracker2: #bkdk #bakudeku Pizza boys AU Someone is flirting with Izuku over the phone, Katsuki knows because it's the exact shade…"
pizza,Anim8trGirl,"RT @mimilovesfilm: My three year old niece was screaming, “No Justice! No Peace!” 

Followed by, “No Justice! No Pizza!”

And all was right…"
pizza,Mr Pizza 🍕,@CaroAcosta8 I like Pizza 🍕
pizza,Fallon W.,"RT @LedoPizza: National Cheese Day GIVEAWAY 🧀

RETWEET &amp; FOLLOW 
to be entered to win a
$50 #LEDOPIZZA GIFT CARD!
(1 winner picked at 9pm 6…"
pizza,😸Polly😸,RT @BakCode: Pizza kha lo phrandsss😍 https://t.co/B2SidNJygu https://t.co/VTeAxWweh7
pizza,bai,"RT @BIBC_cm: [UPCOMING!: Welcome Party]
-
June 6, 2020 at 9 PM
📍Q Bar, San li tun

Free! pizza &amp; beer🍺 🍕 

See you there 👀 
#BIBCwelcomepar…"
pizza,WWS Tigers BVB,"but even quicker to love. Always, always, always, always stand up to bullies and protect anyone that needs protecti… https://t.co/JTowH3PWCN"
pizza,Post Turtle Pusher,@toryboypierce @Keir_Starmer @BorisJohnson More @toryboypierce perverted fable. BoJo phoned all opposition leaders… https://t.co/PwMXZvUJdq
pizza,Leni,RT @AnnieCRomano: Pizza for dinner? Not tonight! Pizza escapes from his box to find that adventures await an entrée willing to take a few r…
pizza,Mr Pizza 🍕,@tinat1022 I like Pizza 🍕
virus,IJS💙🆘💙🇺🇲⚖️,RT @ASlavitt: Protests will go until things finally change. Neither the virus nor the president will stop it. /end
virus,Robb S,RT @KateAronoff: Can't believe the virus would do that https://t.co/wYc6VCEnBw
virus,atay,"RT @krixsna: Trump called mexicans rapists while HE RAPED young children

Trump called the black community thugs while HE STOLE their lives…"
virus,Andrea Rivera,"RT @yarimarbonilla: The world stopped to protect us from COVID, yet George Floyd had no symptoms, died instead by police encounter. Breanna…"
virus,Johnny♏️🦂😈,"ALSO! Keep in mind the Virus has an incubation period of 10-15 days or roughly two weeks, and what was two weeks ag… https://t.co/gamXWMxtr1"
virus,jess,RT @Hurricane3323: Ima tell my kids “I was an essential worker surviving a deadly virus by day and was a civil rights activist by night. I…
virus,Maha Bharatham,"They are not #Pakistanis , They are Balochis -our brothers #IndSubcontinent #Bharatham
who are forcefully affected… https://t.co/QNbiF1Onrt"
virus,•_a n i t a_•,"RT @krixsna: Trump called mexicans rapists while HE RAPED young children

Trump called the black community thugs while HE STOLE their lives…"
virus,JeanneOrrangeStocker,@SRuhle This is really terrible ! We have all worked so hard to stop the virus . It will come back. It makes me just sick
virus,MissTree ✝️ 🇺🇸,"RT @charliekirk11: If a lack of social distancing can kill people like the “experts” told us

Why are they okay with 50,000+ Black American…"
corona,mAL,@KingGtraceo Before this Corona shit I used to listen to abba every morning before I start my day off. It was so go… https://t.co/1IkACjW9ks
corona,🏴󠁧󠁢󠁷󠁬󠁳󠁿Rich🏴󠁧󠁢󠁷󠁬󠁳󠁿,"@LegendEskimoBoy @Glenaldinho Why hasn't there been a massive 2nd wave of Corona???
It's all bullshit mate"
corona,MANOJ KUMAR,@BorisJohnson Mr.Boris what's progress your corona vaccine...?
corona,ConnieTX,"RT @pvtjokerus: Breaking: With a lull in mass riots and looting, Little Lord Fckpants Fauci has emerged from hiding, saw his shadow, and pr…"
corona,ADWAITMISHRAbjp (Ankur),"RT @ncchwo: Appreciation Certificate of ""Corona Yodha"" issued to DM Deoria Uttar Pradesh for his excellent job during lock down in Covid-19…"
corona,S.Roshan,"RT @MannnaruB: #SaveapStudents
#CancelAPExamsPromoteStudents 
There is a big problem to conducting exams if the invigilator have corona the…"
corona,Ujala Arora,@NetflixIndia @NorbertElekes looking at Corona updates.
corona,समस्या मोदी जी तक 🚩🇮🇳 टीम RNM🚩🇮🇳,"RT @Miss__Indian: After seeing such manners of humans, it seems that corona is good punishment for us. 

#JusticeForElephant"
corona,Salil Garg,RT @manuparida1: It was sad to see  educated people bringing small kids to sukhna lake.i really don't mind these stupid adults 'early depar…
corona,Jag?,RT @merni_: Swedish police fire their weapons against someone in total (not per person) 15 times/year. They do 1.4 m interventions/year. St…
